key,x,y,z,parent,theta
midpoint,1083,565,500,root,"[1,1,1]"
galvo_back,18,565,500,midpoint,"[1,1,1]"
galvo_up,18,431,500,galvo_back,"[1,0,0]"
write,13.5,420,162.2,galvo_up,"[1,0,0]"
storage,1779,240,500,midpoint,"[1,1,1]"
shelf_one,1730,168.5,216,storage,"[1,0,0]"
shelf_swap,1730,106,213,storage,"[1,0,0]"
stationX_up,438,593,500,midpoint,"[1,1,1]"
stationX_down,438,593,165,stationX_up,"[0,1,0]"
StationX,438,534,165,stationX_down,"[0,1,0]"
Terahertz,735,209.75,500,midpoint,"[1,1,0]"
writeDrop,13.5,420,163.25,write,"[1,0,0]"
