Time Step (s),Series A Position (mm),Series A Velocity (mm/s),Series B Position (mm),Series B Velocity (mm/s),Series C Position (mm),Series C Velocity (mm/s)
0,0,0,0,0,0,0
0.25,-0.160635925,-0.642543701,0,0,2.725432792,10.90173117
0.25,-0.220052701,-0.880210805,0,0,2.721279958,10.88511983
0.25,-0.279364744,-1.117458976,0,0,2.715831943,10.86332777
0.25,-0.338543824,-1.354175298,0,0,2.709091339,10.83636536
0.25,-0.397561776,-1.590247105,0,0,2.701061354,10.80424542
0.25,-0.45639051,-1.825562041,0,0,2.69174581,10.76698324
0.25,-0.515002027,-2.060008108,0,0,2.681149141,10.72459656
0.25,-0.573368431,-2.293473723,0,0,2.66927639,10.67710556
0.25,-0.631461942,-2.525847769,0,0,2.656133208,10.62453283
0.25,-0.689254912,-2.757019648,0,0,2.641725851,10.5669034
0.25,-0.746719834,-2.986879335,0,0,2.626061175,10.5042447
0.25,-0.803829357,-3.215317429,0,0,2.609146636,10.43658654
0.1,0,0,0,0,0,0
